,first layer,second layer,third layer,train,test
2492,130,110,10,1.0,0.6470588235294117
2493,130,110,20,1.0,0.6470588235294118
2494,130,110,30,1.0,0.6313725490196078
2495,130,110,40,1.0,0.6274509803921569
2496,130,110,50,1.0,0.6392156862745098
2497,130,110,60,1.0,0.6392156862745098
2498,130,110,70,1.0,0.6431372549019607
2499,130,110,80,1.0,0.6666666666666665
2500,130,110,90,1.0,0.6392156862745098
2501,130,110,100,1.0,0.6431372549019607
2502,130,110,110,1.0,0.6549019607843136
2503,130,110,120,1.0,0.6470588235294117
2504,130,110,130,1.0,0.6431372549019607
2505,130,110,140,1.0,0.6039215686274509
2506,130,120,10,1.0,0.6352941176470587
2507,130,120,20,1.0,0.6431372549019607
2508,130,120,30,1.0,0.6588235294117646
2509,130,120,40,1.0,0.6745098039215686
2510,130,120,50,1.0,0.6666666666666665
2511,130,120,60,1.0,0.6470588235294116
2512,130,120,70,1.0,0.6235294117647058
2513,130,120,80,1.0,0.6627450980392156
2514,130,120,90,1.0,0.6470588235294117
2515,130,120,100,1.0,0.6431372549019607
2516,130,120,110,1.0,0.6823529411764704
2517,130,120,120,1.0,0.6588235294117646
2518,130,120,130,1.0,0.6627450980392156
2519,130,120,140,1.0,0.6705882352941175
2520,130,130,10,1.0,0.6509803921568627
2521,130,130,20,1.0,0.6392156862745096
2522,130,130,30,1.0,0.6352941176470588
2523,130,130,40,1.0,0.6509803921568627
2524,130,130,50,1.0,0.6509803921568627
2525,130,130,60,1.0,0.6627450980392156
2526,130,130,70,1.0,0.6352941176470587
2527,130,130,80,1.0,0.6470588235294117
2528,130,130,90,1.0,0.6509803921568627
2529,130,130,100,1.0,0.6705882352941175
2530,130,130,110,1.0,0.6352941176470588
2531,130,130,120,1.0,0.6392156862745098
2532,130,130,130,1.0,0.6235294117647058
2533,130,130,140,1.0,0.6431372549019607
2534,130,140,10,1.0,0.6549019607843136
2535,130,140,20,1.0,0.6235294117647058
2536,130,140,30,1.0,0.6509803921568627
2537,130,140,40,1.0,0.6470588235294117
2538,130,140,50,1.0,0.6627450980392157
2539,130,140,60,1.0,0.6470588235294117
2540,130,140,70,1.0,0.6627450980392156
2541,130,140,80,1.0,0.6549019607843136
2542,130,140,90,1.0,0.6588235294117648
2543,130,140,100,1.0,0.6431372549019607
2544,130,140,110,1.0,0.6627450980392157
2545,130,140,120,1.0,0.6509803921568627
2546,130,140,130,1.0,0.6862745098039215
2547,130,140,140,1.0,0.6784313725490196
2548,140,10,10,0.9992982456140351,0.6196078431372548
2549,140,10,20,0.9992982456140351,0.6235294117647059
2550,140,10,30,1.0,0.6627450980392156
2551,140,10,40,1.0,0.6392156862745098
2552,140,10,50,1.0,0.6156862745098038
2553,140,10,60,1.0,0.6352941176470587
2554,140,10,70,1.0,0.6196078431372548
2555,140,10,80,1.0,0.6352941176470588
2556,140,10,90,1.0,0.615686274509804
2557,140,10,100,1.0,0.6313725490196078
2558,140,10,110,1.0,0.6196078431372548
2559,140,10,120,1.0,0.6313725490196078
2560,140,10,130,0.9992982456140351,0.6
2561,140,10,140,1.0,0.6274509803921569
